,title
2,Grumpier Old Men
4,Father of the Bride Part II
9,GoldenEye
12,Balto
18,Ace Ventura: When Nature Calls
20,Get Shorty
33,Babe
43,Mortal Kombat
47,Pocahontas
65,Lawnmower Man 2: Beyond Cyberspace
68,Friday
69,From Dusk Till Dawn
75,Screamers
105,Muppet Treasure Island
124,The Neverending Story III: Escape from Fantasia
142,Bad Boys
150,Batman Forever
153,Blue in the Face
155,Casper
160,Desperado
162,Die Hard: With a Vengeance
163,The Doom Generation
166,Free Willy 2 - The Adventure Home
178,Mighty Morphin Power Rangers: The Movie
182,The Net
185,The Prophecy
190,Showgirls
191,Smoke
193,Species
201,Under Siege 2: Dark Territory
210,Burnt by the Sun
212,Before Sunrise
219,Clerks
227,Dumb and Dumber
235,A Goofy Movie
249,Interview with the Vampire
256,Star Wars
282,Nemesis 2 - Nebula
286,Once Were Warriors
287,Poison Ivy II: Lily
309,The Swan Princess
313,The Santa Clause
323,Tales from the Crypt: Demon Knight
324,Star Trek: Generations
339,Ace Ventura: Pet Detective
344,Clear and Present Danger
348,The Crow
350,The Flintstones
359,The Lion King
361,New Nightmare
362,The Mask
365,The Naked Gun 33⅓: The Final Insult
369,Ri¢hie Ri¢h
372,Speed
374,Timecop
388,Street Fighter
392,The Fear
400,Highlander: The Final Dimension
405,Addams Family Values
410,Another Stakeout
450,Free Willy
452,The Fugitive
459,Hard Target
461,Hot Shots! Part Deux
465,House Party 3
475,Jurassic Park
497,The Next Karate Kid
514,RoboCop 3
526,The Secret Garden
528,The Shadow
536,Blade Runner
579,Home Alone
581,Aladdin
582,Terminator 2: Judgment Day
585,Batman
586,The Silence of the Lambs
588,Beauty and the Beast
598,Candyman: Farewell to the Flesh
601,Homeward Bound II: Lost in San Francisco
602,Heavy Metal
603,Hellraiser: Bloodline
622,All Dogs Go to Heaven 2
638,Mission: Impossible
643,DragonHeart
657,Bloodsport II
668,Alphaville
707,The Visitors
725,Ghost in the Shell
729,A Close Shave
732,The Arrival
754,Touki Bouki
759,Trainspotting
761,Independence Day
769,The Nutty Professor
796,A Very Brady Sequel
816,The Crow: City of Angels
826,Escape from L.A.
835,The Godfather
837,Police Story 3: Supercop
854,Project S
868,Halloween: The Curse of Michael Myers
901,2001: A Space Odyssey
927,The Thin Man
945,Night of the Living Dead
983,D3: The Mighty Ducks
985,The Apple Dumpling Gang
986,"Davy Crockett, King of the Wild Frontier"
987,Escape to Witch Mountain
988,The Love Bug
989,Herbie Rides Again
994,The Shaggy Dog
1000,Cinderella
1011,The Fox and the Hound
1012,Freeway
1014,Die Hard
1015,The Lawnmower Man
1041,Aladdin and the King of Thieves
1063,Dirty Dancing
1066,Weekend at Bernie's
1067,Basic Instinct
1080,Children of the Corn IV: The Gathering
1101,Escape from New York
1102,The Howling
1117,The Wrong Trousers
1160,Up in Smoke
1161,The Empire Strikes Back
1163,Raiders of the Lost Ark
1165,Aliens
1166,"The Good, the Bad and the Ugly"
1174,Return of the Jedi
1178,Alien
1179,Army of Darkness
1183,Psycho
1184,The Blues Brothers
1185,The Godfather: Part II
1197,The Sting
1202,The Terminator
1214,Chinatown
1223,Evil Dead II
1232,Back to the Future
1237,Highlander
1244,Fantasia
1251,Koyaanisqatsi
1253,Indiana Jones and the Last Crusade
1280,Alien³
1282,Amityville: It's About Time
1283,Amityville 3-D
1284,Amityville: Dollhouse
1285,Amityville: A New Generation
1286,Amityville II: The Possession
1287,The Amityville Horror
1288,The Amityville Curse
1294,The Blob
1299,Bride of Frankenstein
1301,Candyman
1304,Carrie
1306,A Nightmare on Elm Street
1309,The Omen
1313,Breaking the Waves
1315,Star Trek: First Contact
1318,Jingle All the Way
1320,Paradise Lost: The Child Murders at Robin Hood Hills
1325,101 Dalmatians
1328,Die Hard 2
1329,Star Trek: The Motion Picture
1330,Star Trek VI: The Undiscovered Country
1331,Star Trek V: The Final Frontier
1332,At the end of the universe lies the beginning of vengeance.
1333,Star Trek III: The Search for Spock
1334,Star Trek IV: The Voyage Home
1335,Batman Returns
1336,Young Guns
1337,Young Guns II
1338,Grease
1339,Grease 2
1343,Under Siege
1345,Jaws
1346,Jaws 2
1347,Jaws 3-D
1363,Scream
1381,Turbulence
1383,First Strike
1397,McHale's Navy
1411,Vegas Vacation
1427,The Saint
1429,The Van
1439,Turbo: A Power Rangers Movie
1443,Anaconda
1458,Austin Powers: International Man of Mystery
1465,Warriors of Virtue
1469,Nowhere
1484,The Lost World: Jurassic Park
1487,Shiloh
1496,Speed 2: Cruise Control
1501,Batman & Robin
1518,Men in Black
1525,Conan the Barbarian
1526,George of the Jungle
1530,Air Bud
1533,Free Willy 3: The Rescue
1541,Mimic
1547,The Hunt for Red October
1556,Kiss the Girls
1559,Wishmaster
1576,I Know What You Did Last Summer
1597,Bean
1608,Starship Troopers
1613,Mortal Kombat: Annihilation
1622,Alien: Resurrection
1629,The Boys
1637,Home Alone 3
1645,Scream 2
1650,Tomorrow Never Dies
1654,The Postman
1664,3 Ninjas: High Noon at Mega Mountain
1678,The Prophecy II
1704,U.S. Marshals
1714,Wild Things
1740,The Odd Couple II
1764,Species II
1765,Major League: Back to the Minors
1808,Mulan
1810,The X Files
1812,Doctor Dolittle
1819,Lethal Weapon 4
1854,The French Connection
1855,Rocky
1870,A Nightmare on Elm Street Part 2: Freddy's Revenge
1871,A Nightmare on Elm Street 3: Dream Warriors
1872,A Nightmare on Elm Street 4: The Dream Master
1873,A Nightmare on Elm Street 5: The Dream Child
1874,Freddy's Dead: The Final Nightmare
1875,Friday the 13th
1876,Friday the 13th Part 2
1877,Friday the 13th Part III
1878,Friday the 13th: The Final Chapter
1879,Friday the 13th: A New Beginning
1880,Friday the 13th Part VI: Jason Lives
1881,Friday the 13th Part VII: The New Blood
1882,Friday the 13th Part VIII: Jason Takes Manhattan
1883,Halloween
1884,Halloween II
1885,Halloween III: Season of the Witch
1886,Halloween 4: The Return of Michael Myers
1887,Halloween 5: The Revenge of Michael Myers
1888,Prom Night
1889,Hello Mary Lou: Prom Night II
1890,Prom Night III: The Last Kiss
1891,Prom Night IV: Deliver Us from Evil
1892,Child's Play
1893,Child's Play 2
1894,Child's Play 3
1895,Poltergeist
1896,Poltergeist II: The Other Side
1897,Poltergeist III
1898,The Exorcist
1899,Exorcist II: The Heretic
1900,The Exorcist III
1901,Lethal Weapon
1902,Lethal Weapon 2
1903,Lethal Weapon 3
1904,Gremlins
1905,Gremlins 2: The New Batch
1907,The Mask of Zorro
1912,Back to the Future Part II
1913,Back to the Future Part III
1914,The Poseidon Adventure
1916,The Absent-Minded Professor
1917,The Apple Dumpling Gang Rides Again
1919,Bambi
1924,The Godfather: Part III
1943,D2: The Mighty Ducks
1951,Herbie Goes Bananas
1952,Herbie Goes To Monte Carlo
1954,Honey I Blew Up the Kid
1955,"Honey, I Shrunk the Kids"
1979,The Jungle Book
1981,Lady and the Tramp
1982,The Little Mermaid
1983,The Mighty Ducks
1986,One Hundred and One Dalmatians
1988,Peter Pan
1991,The Rescuers
1992,Return from Witch Mountain
1993,The Return of Jafar
1996,The Shaggy D.A.
1999,Son of Flubber
2001,Splash
2006,Tron
2008,Halloween: H20
2016,Indiana Jones and the Temple of Doom
2017,The Lord of the Rings
2023,Children of the Corn
2024,All Dogs Go to Heaven
2025,The Addams Family
2038,Charlotte's Web
2040,The Secret of NIMH
2042,An American Tail
2043,An American Tail: Fievel Goes West
2049,House
2050,House II: The Second Story
2051,The Gods Must Be Crazy
2052,The Gods Must Be Crazy II
2059,"Henry II, Portrait of a Serial Killer"
2060,Henry: Portrait of a Serial Killer
2061,Rosemary's Baby
2062,The NeverEnding Story
2063,The Neverending Story II: The Next Chapter
2064,Attack of the Killer Tomatoes!
2068,Blade
2131,Cube
2170,Rush Hour
2176,Urban Legend
2185,The Thing
2208,2010
2212,Bride of Chucky
2225,Vampires
2233,Elizabeth
2235,I Still Know What You Did Last Summer
2243,The Stepford Wives
2260,Godzilla
2261,Godzilla 1985
2262,King Kong vs. Godzilla
2263,King Kong
2264,King Kong
2265,King Kong Lives
2268,Fletch
2269,Fletch Lives
2270,Red Sonja
2273,A View to a Kill
2275,Police Academy
2276,Police Academy 2: Their First Assignment
2277,Police Academy 3: Back in Training
2278,Police Academy 4: Citizens on Patrol
2279,Police Academy 5: Assignment Miami Beach
2280,Police Academy 6: City Under Siege
2281,Babe: Pig in the City
2290,Star Trek: Insurrection
2299,Rambo: First Blood Part II
2300,First Blood
2301,Rambo III
2302,The Jewel of the Nile
2303,Romancing the Stone
2304,Cocoon
2305,Cocoon: The Return
2306,Rocky II
2307,Rocky III
2308,Rocky IV
2309,Rocky V
2317,The Karate Kid
2318,"The Karate Kid, Part II"
2319,"The Karate Kid, Part III"
2320,National Lampoon's Christmas Vacation
2348,The Gate
2349,The Gate II: Trespassers
2351,The Fly
2352,The Fly
2353,The Fly II
2356,The Texas Chain Saw Massacre
2357,The Texas Chainsaw Massacre 2
2358,Leatherface: Texas Chainsaw Massacre III
2359,Texas Chainsaw Massacre: The Next Generation
2367,Crocodile Dundee
2368,Crocodile Dundee II
2371,The Color of Money
2402,8MM
2410,Pet Sematary
2411,Pet Sematary II
2412,Children of the Corn II: The Final Sacrifice
2413,Children of the Corn III: Urban Harvest
2417,Airport
2418,Airport 1975
2419,Airport '77
2422,Alligator
2424,Westworld
2426,Planet of the Apes
2427,Beneath the Planet of the Apes
2428,Battle for the Planet of the Apes
2429,Conquest of the Planet of the Apes
2430,Escape from the Planet of the Apes
2433,The Concorde... Airport '79
2434,Beyond the Poseidon Adventure
2436,Analyze This
2438,Cruel Intentions
2445,The Rage: Carrie 2
2468,The Matrix
2513,The Mummy
2524,Star Wars: Episode I - The Phantom Menace
2529,The Mummy
2530,The Mummy
2531,The Mummy's Curse
2532,The Mummy's Ghost
2533,The Mummy's Hand
2534,The Mummy's Tomb
2536,Superman
2537,Superman II
2538,Superman III
2539,Superman IV: The Quest for Peace
2540,Dracula
2541,House of Dracula
2542,House of Frankenstein
2543,Frankenstein
2544,Son of Frankenstein
2545,The Ghost of Frankenstein
2547,The Curse of Frankenstein
2548,Son of Dracula
2549,The Wolf Man
2550,Howling II: Stirba - Werewolf Bitch
2552,The Rocky Horror Picture Show
2563,Swamp Thing
2581,Austin Powers: The Spy Who Shagged Me
2585,Tarzan
2604,American Pie
2607,Muppets from Space
2608,The Blair Witch Project
2611,Lake Placid
2614,Ghostbusters
